player.name,shots,goals,xg,conversion_rate,gax
Gonzalo Gerardo Higuaín,182,36,25.025725227,0.1978021978021978,10.974274773000001
Mohamed Salah,73,14,8.5013707905,0.1917808219178082,5.498629209500001
Paulo Bruno Exequiel Dybala,106,19,14.793143195599999,0.1792452830188679,4.206856804400001
Jesús Joaquín Fernández Sáez de la Torre,39,6,2.0308360785,0.15384615384615385,3.9691639215
Miralem Pjanić,68,10,6.0585645779,0.14705882352941177,3.9414354220999996
Massimo Maccarone,82,13,9.149742061,0.15853658536585366,3.8502579390000005
Alessandro Florenzi,48,7,3.2580288607,0.14583333333333334,3.7419711393
Mauro Emanuel Icardi Rivero,59,16,12.35927706,0.2711864406779661,3.64072294
Josip Iličić,74,13,9.3869994946,0.17567567567567569,3.6130005054000005
Emanuele Giaccherini,46,7,3.5270662293,0.15217391304347827,3.4729337707
Eder Citadin Martins,80,13,9.677482712,0.1625,3.3225172880000002
Roberto Soriano,54,8,4.69454265,0.14814814814814814,3.30545735
Leonardo Pavoletti,67,14,10.730603229,0.208955223880597,3.2693967710000003
Federico Dionisi,86,9,5.98825597,0.10465116279069768,3.01174403
Gonzalo Javier Rodríguez,11,4,1.1451988257,0.36363636363636365,2.8548011743
Lorenzo Insigne,135,12,9.2089978961,0.08888888888888889,2.7910021039000004
Carlos Arturo Bacca Ahumada,81,18,15.406710912,0.2222222222222222,2.5932890880000006
Simone Pepe,20,3,0.7162109124,0.15,2.2837890875999998
Lucas Digne,16,3,0.7787891289000001,0.1875,2.2212108711
Riccardo Meggiorini,39,5,2.7877694912,0.1282051282051282,2.2122305088
Matteo Politano,43,5,2.802093611,0.11627906976744186,2.197906389
Radja Nainggolan,66,6,3.8490371977,0.09090909090909091,2.1509628023
Sergio Floccari,46,6,3.896947382,0.13043478260869565,2.103052618
Ervin Zukanović,11,3,0.921250412,0.2727272727272727,2.078749588
Simone Zaza,31,5,2.938663748,0.16129032258064516,2.061336252
Felipe Anderson Pereira Gomes,50,7,4.9969658283,0.14,2.0030341717000004
Mario Mandžukić,40,10,8.0095923645,0.25,1.9904076355000004
Eros Pisano,23,5,3.04034463,0.21739130434782608,1.9596553700000001
Alberto Gilardino,49,10,8.12197113,0.20408163265306123,1.8780288699999996
Alessandro Matri,12,4,2.1338127890000003,0.3333333333333333,1.8661872109999997
Stephan El Shaarawy,46,8,6.140188139,0.17391304347826086,1.8598118609999998
Marco Borriello,55,8,6.179390561,0.14545454545454545,1.820609439
Nicola Rigoni,30,3,1.1893362715,0.1,1.8106637285
Luca Rossettini,14,3,1.241526701,0.21428571428571427,1.758473299
Francesco Totti,22,5,3.312910072,0.22727272727272727,1.6870899279999998
Mario Lemina,5,2,0.3421041933,0.4,1.6578958067
Tomás Eduardo Rincón Hernández,27,3,1.369020035,0.1111111111111111,1.630979965
Paolo Sammarco,22,4,2.3766764425,0.18181818181818182,1.6233235575
Lucas Rodrigo Biglia,18,4,2.383056299,0.2222222222222222,1.6169437009999998
Federico Viviani,32,3,1.4031372009,0.09375,1.5968627991
Dries Mertens,55,5,3.4048807634,0.09090909090909091,1.5951192366
Cesare Bovo,10,2,0.4141189996,0.2,1.5858810004000001
Senad Lulić,19,3,1.425005132,0.15789473684210525,1.574994868
Gervais Lombe Yao Kouassi,27,6,4.445208955,0.2222222222222222,1.554791045
Francesco Acerbi,14,4,2.474009047,0.2857142857142857,1.525990953
Giancarlo González Castro,4,2,0.500923102,0.5,1.499076898
Lorenzo Pasciuti,6,2,0.508099966,0.3333333333333333,1.491900034
Bruno da Silva Peres,40,3,1.5192303614,0.075,1.4807696386
Fernando Lucas Martins,48,4,2.5662533386,0.08333333333333333,1.4337466613999998
Luca Antonelli,19,3,1.591475649,0.15789473684210525,1.408524351
Juan Guillermo Cuadrado Bello,36,4,2.5997312275,0.1111111111111111,1.4002687725
Filip Helander,6,2,0.618167146,0.3333333333333333,1.381832854
Oscar Hiljemark,26,4,2.648434231,0.15384615384615385,1.351565769
Nicola Sansone,63,7,5.6703784388,0.1111111111111111,1.3296215611999997
Ricardo Kishna,9,2,0.706971894,0.2222222222222222,1.293028106
Sami Khedira,22,5,3.7258493400000003,0.22727272727272727,1.2741506599999997
Manolo Gabbiadini,30,5,3.752757466,0.16666666666666666,1.2472425340000002
Blerim Džemaili,37,3,1.7617918192,0.08108108108108109,1.2382081808
Alex Rodrigo Dias da Costa,23,3,1.795519042,0.13043478260869565,1.204480958
Miroslav Klose,30,7,5.8013328390000005,0.23333333333333334,1.1986671609999995
Danilo D''Ambrosio,8,2,0.809300664,0.25,1.190699336
Lorenzo Tonelli,7,2,0.8134806994,0.2857142857142857,1.1865193006
Godfred Donsah,16,2,0.8245611415,0.125,1.1754388585
Leonardo Blanchard,21,3,1.882780578,0.14285714285714285,1.117219422
Sergio Pellissier,22,5,3.8941617017,0.22727272727272727,1.1058382983000001
Daniele Baselli,33,4,2.9188029,0.12121212121212122,1.0811970999999998
Afriyie Acquah,24,2,0.9222500709,0.08333333333333333,1.0777499291
Artur Ioniţă,40,4,2.9255698174,0.1,1.0744301826
Jakub Błaszczykowski,8,2,0.930137884,0.25,1.069862116
Alex Sandro Lobo Silva,18,2,0.9510029769999999,0.1111111111111111,1.048997023
Alejandro Darío Gómez,87,7,5.957725376,0.08045977011494253,1.042274624
Leandro Daniel Paredes,53,2,1.0165964138,0.03773584905660377,0.9834035861999999
Franco Brienza,41,3,2.050330163,0.07317073170731707,0.9496698370000001
Edoardo Goldaniga,6,2,1.0524706536,0.3333333333333333,0.9475293464000001
Alessandro Frara,12,2,1.0560061570000001,0.16666666666666666,0.9439938429999999
Kevin Lasagna,42,5,4.0622018648000005,0.11904761904761904,0.9377981351999995
Marco D''Alessandro,14,3,2.07929512,0.21428571428571427,0.9207048800000002
Daniel Ciofani,77,9,8.09238121,0.11688311688311688,0.9076187900000008
Gennaro Sardo,2,1,0.097306652,0.5,0.902693348
Samir Caetano de Souza Santos,2,1,0.09987537499999999,0.5,0.900124625
Simone Verdi,14,3,2.104500256,0.21428571428571427,0.8954997439999999
Borja Valero Iglesias,36,4,3.108322073,0.1111111111111111,0.8916779269999999
Gregoire Defrel,52,7,6.111243991,0.1346153846153846,0.8887560089999997
Cristian Eduardo Zapata Valencia,3,1,0.118818167,0.3333333333333333,0.881181833
Adriano Russo,1,1,0.1262766,1.0,0.8737234
Facundo Sebastián Roncaglia,11,1,0.131787297,0.09090909090909091,0.868212703
Diogo José Rosário Gomes Figueiras,5,1,0.139537848,0.2,0.860462152
Panagiotis Tachtsidis,20,2,1.151873505,0.1,0.848126495
Leonardo Bonucci,26,3,2.1582018230999997,0.11538461538461539,0.8417981769000003
Marcel Büchel,36,2,1.162965537,0.05555555555555555,0.837034463
Khouma El Hadji Babacar,30,5,4.185031439,0.16666666666666666,0.8149685609999997
Duván Esteban Zapata Banguera,52,8,7.1959504525,0.15384615384615385,0.8040495475
Abdelhamid El Kaoutari,1,1,0.19812727,1.0,0.80187273
Stipe Perica,16,2,1.199723808,0.125,0.8002761920000001
Anthony Mounier,21,4,3.22623869,0.19047619047619047,0.7737613099999998
Ignazio Abate,4,1,0.230170924,0.25,0.769829076
Stefano Sabelli,4,1,0.233262658,0.25,0.766737342
Joel Chukwuma Obi,3,1,0.25885263000000003,0.3333333333333333,0.74114737
Joan Verdú Fernández,4,1,0.264561918,0.25,0.7354380819999999
Dávid Ivan,5,1,0.286417325,0.2,0.713582675
Mauricio Ricardo Pinilla Ferreira,43,5,4.3027467755,0.11627906976744186,0.6972532244999998
Philippe Mexès,5,1,0.3052313526,0.2,0.6947686474
Vincent Laurini,3,1,0.31070292299999996,0.3333333333333333,0.689297077
Umar Sadiq Mesbah,4,2,1.31647469,0.5,0.68352531
Simone Padoin,4,1,0.31715565700000004,0.25,0.682844343
Nicolò Cherubin,4,1,0.31824386000000005,0.25,0.68175614
Pontus Jansson,6,1,0.319053936,0.16666666666666666,0.680946064
Lazaros Christodoulopoulos,6,1,0.334652286,0.16666666666666666,0.6653477139999999
Valter Birsa,54,6,5.343415741,0.1111111111111111,0.6565842589999997
Dario Dainelli,2,1,0.350832616,0.5,0.6491673840000001
Iago Falqué Silva,16,2,1.3774634706,0.125,0.6225365294
Konstantinos Manolas,17,2,1.3819564685999999,0.11764705882352941,0.6180435314000001
Milan Biševac,2,1,0.38850473999999996,0.5,0.6114952600000001
Gabriel Alejandro Paletta,9,1,0.3983349202,0.1111111111111111,0.6016650798000001
Allan Marques Loureiro,29,3,2.406871817,0.10344827586206896,0.5931281830000001
Stefano Mauri,6,1,0.420994995,0.16666666666666666,0.579005005
Gary Alexis Medel Soto,12,1,0.435118832,0.08333333333333333,0.564881168
Marcelo Brozović,56,4,3.444159743,0.07142857142857142,0.5558402569999998
Arlind Afrim Ajeti,9,1,0.45860472329999996,0.1111111111111111,0.5413952767000001
Serge Gakpé,23,3,2.4609485478,0.13043478260869565,0.5390514521999998
Rafael Tolói,10,1,0.46447922669999997,0.1,0.5355207733
Ali Adnan Kadhim Al Tameemi,23,1,0.4718176303,0.043478260869565216,0.5281823697
Giuseppe Vives,16,1,0.4832544842,0.0625,0.5167455158
Francesco Magnanelli,18,1,0.4853713914,0.05555555555555555,0.5146286086
Vangelis Moras,8,1,0.504723705,0.125,0.49527629500000003
Patrice Evra,17,2,1.512994832,0.11764705882352941,0.48700516800000004
Luis Fernando Muriel Fruto,56,6,5.51849099,0.10714285714285714,0.4815090099999999
Vlad Iulian Chiricheș,5,1,0.525131961,0.2,0.47486803899999996
Leandro Greco,11,1,0.527290067,0.09090909090909091,0.47270993299999997
Uroš Đurđević,9,2,1.553650228,0.2222222222222222,0.44634977200000003
Adam Masina,13,2,1.573150089,0.15384615384615385,0.4268499109999999
Antonio Rüdiger,18,2,1.5747830846000002,0.1111111111111111,0.42521691539999984
Roberto Inglese,35,3,2.5767282149,0.08571428571428572,0.42327178509999985
Davide Zappacosta,15,1,0.5841393035,0.06666666666666667,0.4158606965
Achraf Lazaar,29,1,0.5850540001,0.034482758620689655,0.41494599990000003
Remo Freuler,5,1,0.6010902499999999,0.2,0.39890975000000006
Daniele De Rossi,11,1,0.604167551,0.09090909090909091,0.39583244900000003
Cristian Molinaro,13,1,0.6131734955,0.07692307692307693,0.3868265045
Mario Suárez Mata,7,1,0.616231646,0.14285714285714285,0.383768354
Gaetano Letizia,23,1,0.622272991,0.043478260869565216,0.377727009
Simone Missiroli,13,2,1.634248954,0.15384615384615385,0.36575104599999997
Juan Manuel Iturbe Arévalo,9,1,0.639712625,0.1111111111111111,0.36028737499999997
Lorenzo Pellegrini,24,3,2.6601836605,0.125,0.3398163395
Piotr Zieliński,64,5,4.6644505356,0.078125,0.33554946439999966
Diego Sebastián Laxalt Suárez,34,3,2.678014866,0.08823529411764706,0.3219851340000002
Ogenyi Eddy Onazi,12,1,0.683627693,0.08333333333333333,0.31637230699999996
Andrea Barzagli,4,1,0.687415627,0.25,0.31258437299999997
Raúl Albiol i Tortajada,9,1,0.691722005,0.1111111111111111,0.30827799499999997
Marco Benassi,47,3,2.7095739365,0.06382978723404255,0.2904260635
Luiz Adriano de Souza da Silva,26,4,3.716887222,0.15384615384615385,0.283112778
