player.name,team.name,shot.outcome.name,shot.statsbomb_xg,shot.body_part.name,shot.type.name,location,match_id,is_goal
Robert Acquafresca,Bologna,Blocked,0.037826344,Left Foot,Open Play,"[104.5, 30.9]",3878540,False
Alex Ferrari,Bologna,Off T,0.026632963,Left Foot,Open Play,"[93.1, 42.3]",3878540,False
Antonio Candreva,Lazio,Off T,0.0765552,Head,Open Play,"[111.8, 30.9]",3878540,False
Antonio Candreva,Lazio,Saved,0.034564547,Right Foot,Open Play,"[94.3, 33.1]",3878540,False
Lucas Rodrigo Biglia,Lazio,Goal,0.0650577,Left Foot,Open Play,"[103.1, 37.9]",3878540,True
Robert Acquafresca,Bologna,Saved,0.015776066,Right Foot,Open Play,"[87.8, 47.8]",3878540,False
Ricardo Kishna,Lazio,Goal,0.22498462,Left Foot,Open Play,"[109.2, 44.3]",3878540,True
Franco Brienza,Bologna,Saved,0.039119862,Left Foot,Free Kick,"[90.1, 41.2]",3878540,False
Antonio Candreva,Lazio,Saved,0.008053092,Right Foot,Open Play,"[98.8, 62.6]",3878540,False
Dušan Basta,Lazio,Saved,0.025029745,Right Foot,Open Play,"[95.0, 54.6]",3878540,False
Keita Baldé Diao,Lazio,Off T,0.07184681,Right Foot,Open Play,"[99.9, 47.4]",3878540,False
Matteo Mancosu,Bologna,Goal,0.32214707,Left Foot,Open Play,"[107.2, 29.2]",3878540,True
Ştefan Daniel Radu,Lazio,Blocked,0.011425268,Left Foot,Open Play,"[91.2, 25.0]",3878540,False
Keita Baldé Diao,Lazio,Off T,0.020740664,Left Foot,Open Play,"[114.1, 24.9]",3878540,False
Keita Baldé Diao,Lazio,Saved,0.20794512,Left Foot,Open Play,"[106.3, 34.1]",3878540,False
Antonio Candreva,Lazio,Off T,0.035160672,Right Foot,Open Play,"[101.7, 25.7]",3878540,False
Antonio Candreva,Lazio,Blocked,0.0072676204,Right Foot,Free Kick,"[81.2, 36.7]",3878540,False
Ricardo Kishna,Lazio,Blocked,0.1475313,Right Foot,Open Play,"[109.8, 50.0]",3878540,False
Keita Baldé Diao,Lazio,Saved,0.06679639,Left Foot,Open Play,"[98.7, 46.3]",3878540,False
Danilo Cataldi,Lazio,Off T,0.013241881,Right Foot,Open Play,"[87.9, 34.5]",3878540,False
Erick Antonio Pulgar Farfán,Bologna,Off T,0.029323183,Left Foot,Open Play,"[91.5, 35.7]",3878540,False
Antonio Candreva,Lazio,Saved,0.014070577,Right Foot,Open Play,"[112.3, 23.2]",3878540,False
Sergej Milinković-Savić,Lazio,Off T,0.04812146,Right Foot,Open Play,"[117.9, 48.9]",3878540,False
Danilo Cataldi,Lazio,Saved,0.020143649,Left Foot,Open Play,"[89.0, 36.7]",3878540,False
Felipe Anderson Pereira Gomes,Lazio,Off T,0.09458724,Right Foot,Open Play,"[101.4, 32.6]",3878540,False
Felipe Anderson Pereira Gomes,Lazio,Blocked,0.008419767,Right Foot,Open Play,"[93.4, 21.2]",3878540,False
Danilo Cataldi,Lazio,Blocked,0.030998839,Left Foot,Open Play,"[98.6, 40.4]",3878540,False
Franco Brienza,Bologna,Blocked,0.042634156,Left Foot,Open Play,"[103.0, 51.3]",3878540,False
Franco Brienza,Bologna,Wayward,0.03810121,Right Foot,Open Play,"[103.8, 51.4]",3878540,False
Matteo Brighi,Bologna,Saved,0.06374572,Head,Open Play,"[110.0, 39.4]",3878540,False
Keita Baldé Diao,Lazio,Off T,0.006684744,Left Foot,Open Play,"[115.2, 19.0]",3878540,False
Juan Ignacio Gómez Taleb,Hellas Verona,Off T,0.04193426,Right Foot,Open Play,"[102.0, 23.3]",3878541,False
Radja Nainggolan,AS Roma,Blocked,0.020088283,Left Foot,Open Play,"[92.2, 40.7]",3878541,False
Radja Nainggolan,AS Roma,Blocked,0.021246644,Right Foot,Open Play,"[107.7, 22.7]",3878541,False
Luca Toni,Hellas Verona,Off T,0.058372777,Left Foot,Open Play,"[104.4, 29.6]",3878541,False
Edin Džeko,AS Roma,Off T,0.035523143,Left Foot,Open Play,"[115.2, 28.5]",3878541,False
Boško Janković,Hellas Verona,Blocked,0.1003042,Right Foot,Open Play,"[111.2, 47.0]",3878541,False
Mohamed Salah,AS Roma,Wayward,0.03028375,Left Foot,Open Play,"[98.3, 30.7]",3878541,False
Radja Nainggolan,AS Roma,Saved,0.12472301,Left Foot,Open Play,"[102.3, 40.2]",3878541,False
Daniele De Rossi,AS Roma,Off T,0.005714855,Right Foot,Open Play,"[81.5, 41.7]",3878541,False
Luca Toni,Hellas Verona,Saved,0.05375033,Left Foot,Open Play,"[95.7, 38.1]",3878541,False
Edin Džeko,AS Roma,Off T,0.08809848,Head,Open Play,"[112.0, 42.2]",3878541,False
Gervais Lombe Yao Kouassi,AS Roma,Off T,0.031720698,Right Foot,Open Play,"[102.4, 25.1]",3878541,False
Edin Džeko,AS Roma,Off T,0.037381463,Right Foot,Open Play,"[91.2, 45.6]",3878541,False
Samuel Souprayen,Hellas Verona,Saved,0.045955103,Left Foot,Open Play,"[106.7, 22.9]",3878541,False
Boško Janković,Hellas Verona,Blocked,0.07255837,Head,Open Play,"[115.9, 32.6]",3878541,False
Radja Nainggolan,AS Roma,Off T,0.024757612,Right Foot,Open Play,"[93.9, 53.8]",3878541,False
Leandro Greco,Hellas Verona,Off T,0.029870301,Left Foot,Open Play,"[91.6, 45.6]",3878541,False
Jacopo Sala,Hellas Verona,Wayward,0.064959414,Right Foot,Open Play,"[98.8, 45.5]",3878541,False
Konstantinos Manolas,AS Roma,Saved,0.091684885,Head,Open Play,"[111.2, 41.7]",3878541,False
Edin Džeko,AS Roma,Off T,0.019747317,Head,Open Play,"[105.2, 40.2]",3878541,False
Emil Hallfreðsson,Hellas Verona,Saved,0.11639575,Left Foot,Open Play,"[102.5, 51.7]",3878541,False
Juan Ignacio Gómez Taleb,Hellas Verona,Saved,0.06655174,Left Foot,Open Play,"[109.6, 29.4]",3878541,False
Boško Janković,Hellas Verona,Goal,0.27693853,Right Foot,Open Play,"[113.5, 46.3]",3878541,True
Alessandro Florenzi,AS Roma,Goal,0.01322126,Right Foot,Open Play,"[93.4, 56.1]",3878541,True
Edin Džeko,AS Roma,Saved,0.031957954,Left Foot,Open Play,"[99.5, 35.9]",3878541,False
Miralem Pjanić,AS Roma,Saved,0.042903055,Right Foot,Open Play,"[97.2, 42.0]",3878541,False
Luca Siligardi,Hellas Verona,Saved,0.077700585,Left Foot,Open Play,"[105.0, 29.8]",3878541,False
Miralem Pjanić,AS Roma,Off T,0.036685638,Right Foot,Open Play,"[93.1, 36.2]",3878541,False
Vassilis Torosidis,AS Roma,Blocked,0.009657357,Right Foot,Open Play,"[99.8, 18.2]",3878541,False
Edin Džeko,AS Roma,Off T,0.081908345,Head,Open Play,"[111.4, 39.4]",3878541,False
Miralem Pjanić,AS Roma,Saved to Post,0.21308619,Left Foot,Open Play,"[109.8, 31.2]",3878541,False
Konstantinos Manolas,AS Roma,Off T,0.047397014,Head,Open Play,"[109.4, 43.5]",3878541,False
Radja Nainggolan,AS Roma,Saved,0.10646518,Head,Open Play,"[113.0, 32.8]",3878541,False
Josip Iličić,Fiorentina,Saved,0.022436006,Right Foot,Open Play,"[88.0, 74.8]",3878542,False
Josip Iličić,Fiorentina,Off T,0.04389073,Left Foot,Free Kick,"[90.3, 32.2]",3878542,False
Nigel de Jong,AC Milan,Blocked,0.022619326,Right Foot,Open Play,"[94.1, 40.4]",3878542,False
Giacomo Bonaventura,AC Milan,Blocked,0.040898524,Left Foot,Open Play,"[107.1, 31.3]",3878542,False
Carlos Arturo Bacca Ahumada,AC Milan,Off T,0.052602995,Right Foot,Open Play,"[103.7, 51.7]",3878542,False
Marcos Alonso Mendoza,Fiorentina,Wayward,0.0063254926,Left Foot,Open Play,"[90.9, 22.2]",3878542,False
Milan Badelj,Fiorentina,Blocked,0.026871938,Right Foot,Open Play,"[95.2, 43.7]",3878542,False
Nikola Kalinić,Fiorentina,Saved,0.35241264,Right Foot,Open Play,"[102.7, 36.8]",3878542,False
Josip Iličić,Fiorentina,Blocked,0.032573994,Left Foot,Open Play,"[100.1, 43.5]",3878542,False
